id,Open,High,Low,Close,Adj Close,Volume,Date
378,587.700012,592.799988,582.599976,583.700012,573.99176,749802,2017-02-28
379,585.700012,592.900024,584.200012,586.299988,576.548462,808027,2017-03-01
380,588.299988,591.950012,586.400024,589.25,579.449463,1571599,2017-03-02
381,588.950012,596.700012,585,588.599976,578.810181,759454,2017-03-03
382,592,595,588.200012,590.099976,580.285278,943409,2017-03-06
383,591.700012,591.700012,586.099976,588.049988,578.26947,475240,2017-03-07
384,591.75,593.349976,583.049988,591.849976,582.006226,1055453,2017-03-08
385,588.799988,593.450012,585.25,589.200012,579.400269,690612,2017-03-09
386,589.200012,591.5,587.049988,589.099976,579.301941,558480,2017-03-10
387,597,601.5,590.349976,600.200012,590.217285,1324778,2017-03-14
388,602,605.849976,598.549988,600.200012,590.217285,1479366,2017-03-15
389,605.099976,605.900024,598.049988,601.400024,591.397461,852049,2017-03-16
390,604.5,604.5,594.25,597.299988,587.36554,2189719,2017-03-17
391,597.5,601.5,593.450012,596.299988,586.382202,1027093,2017-03-20
392,598.5,598.5,590.299988,591.849976,582.006226,861663,2017-03-21
393,588.900024,598.450012,587.900024,595.200012,585.300537,1018355,2017-03-22
394,595.799988,598.200012,582.200012,596.25,586.333008,1555876,2017-03-23
395,595,598.25,591.5,593.950012,584.071228,930175,2017-03-24
396,597,597,590,592.099976,582.252014,1038435,2017-03-27
397,592,596,591.450012,594.150024,584.267944,772698,2017-03-28
398,595,596.549988,591.900024,593.150024,583.284607,1047812,2017-03-29
399,594.5,600.849976,591.799988,598.349976,588.398071,2096305,2017-03-30
400,598,598.900024,591,592.950012,583.087891,2242680,2017-03-31
401,595.299988,595.299988,590.099976,592.650024,582.792969,758083,2017-04-03
